Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Deon Jackson,16,14,0,0,0,7,1,7.1,1
Sam Darnold,15,21,1,0,0,9,3,14.3,1
Devin Duvernay,15,4,0,0,0,8,0,0,0
Tyreek Hill,15,6,0,0,0,14,2,33.3,0
Jaren Hall,14,6,0,0,0,8,0,0,0
Drew Lock,14,5,0,0,0,11,1,20,0
Isaiah McKenzie,14,3,0,0,0,7,0,0,0
Charlie Jones,13,2,0,0,0,7,1,50,0
Bam Knight,13,3,0,0,0,8,0,0,0
Kene Nwangwu,13,5,0,0,0,8,0,0,0
Andy Dalton,12,3,0,0,0,10,2,66.7,0
Chris Evans,12,2,0,0,0,7,0,0,0
Adam Prentice,12,2,0,0,0,7,1,50,1
Jaylen Waddle,12,3,0,0,0,12,1,33.3,0
Braxton Berrios,11,1,0,0,0,11,1,100,0
Tyler Boyd,11,2,0,0,0,6,1,50,0
Elijah Moore,11,9,0,0,0,19,2,22.2,1
Keisean Nixon,11,1,0,0,0,11,1,100,0
Aidan O'Connell,11,17,1,0,0,3,7,41.2,1
Jonathan Ward,11,3,0,0,0,8,1,33.3,0
Christian Watson,11,4,0,0,0,13,1,25,0
Gerald Everett,10,3,0,0,0,6,0,0,0
Jake Funk,10,2,0,0,0,7,0,0,0
Blake Gillikin,10,1,0,0,0,10,1,100,0
Khalil Shakir,10,1,0,0,0,10,1,100,0
Michael Burton,9,7,0,0,0,4,4,57.1,0
DeAndre Hopkins,9,2,0,0,0,5,0,0,0
Quentin Johnston,9,3,0,0,0,6,0,0,0
Davis Mills,9,2,0,0,0,9,0,0,0
Ty Montgomery,9,3,0,0,0,7,0,0,0
Ben Skowronek,9,2,0,0,0,11,1,50,0
Harrison Bryant,8,5,0,0,0,2,4,80,1
Mason Rudolph,8,10,0,0,0,7,4,40,1
Jarrett Stidham,8,9,0,0,0,4,1,11.1,1
Cedric Tillman,8,1,0,0,0,8,0,0,0
Nico Collins,7,1,0,0,0,7,0,0,0
C.J. Ham,7,1,0,0,0,7,0,0,0
Robert Woods,7,1,0,0,0,7,0,0,0
Keenan Allen,6,2,0,0,0,4,1,50,0
Elijah Dotson,6,4,0,0,0,2,0,0,0
Kyle Juszczyk,6,5,0,0,0,3,2,40,0
Christian Kirk,6,1,0,0,0,6,0,0,0
Chigoziem Okonkwo,6,2,0,0,0,4,1,50,0
Josh Palmer,6,1,0,0,0,6,0,0,0
Sterling Shepard,6,1,0,0,0,6,0,0,0
Adam Thielen,6,1,0,0,0,6,0,0,0
Logan Woodside,6,1,0,0,0,6,0,0,0
Tim Boyle,5,4,0,0,0,2,3,75,1
Stefon Diggs,5,1,0,0,0,5,1,100,0
Greg Dortch,5,1,0,0,0,5,0,0,0
D'Wayne Eskridge,5,2,0,0,0,10,1,50,0
Darnell Mooney,5,2,0,0,0,3,0,0,0
Devine Ozigbo,5,3,0,0,0,4,1,33.3,0
Nick Bawden,4,2,1,0,0,3,1,50,0
Kendrick Bourne,4,1,0,0,0,4,1,100,0
Van Jefferson,4,1,0,0,0,4,0,0,0
Sam LaPorta,4,1,0,0,0,4,0,0,0
John Metchie III,4,1,0,0,0,4,0,0,0
Andrew Beck,3,5,1,0,0,2,2,40,0
Jake Bobo,3,1,1,0,0,3,1,100,0
Ashtyn Davis,3,2,0,0,0,4,1,50,0
Mecole Hardman,3,1,0,0,0,3,0,0,0
Jalen Reeves-Maybin,3,2,0,0,0,3,1,50,0
